gene1,gene2
A1CF,HNRNPR
A1CF,RBM47
A1CF,SYNCRIP
A2M,C3
A2M,C5
A2M,PZP
A4GALT,A4GNT
A4GNT,A4GALT
AAK1,BMP2K
AATK,LMTK2
ABCA1,ABCA12
ABCA1,ABCA2
ABCA1,ABCA3
ABCA1,ABCA4
ABCA1,ABCA5
ABCA1,ABCA6
ABCA1,ABCA7
ABCA1,ABCA8
ABCA12,ABCA1
ABCA12,ABCA2
ABCA12,ABCA3
ABCA12,ABCA4
ABCA12,ABCA5
ABCA12,ABCA6
ABCA12,ABCA7
ABCA12,ABCA8
ABCA2,ABCA1
ABCA2,ABCA12
ABCA2,ABCA3
ABCA2,ABCA4
ABCA2,ABCA5
ABCA2,ABCA6
ABCA2,ABCA7
ABCA2,ABCA8
ABCA3,ABCA1
ABCA3,ABCA12
ABCA3,ABCA2
ABCA3,ABCA4
ABCA3,ABCA5
ABCA3,ABCA6
ABCA3,ABCA7
ABCA3,ABCA8
ABCA4,ABCA1
ABCA4,ABCA12
ABCA4,ABCA2
ABCA4,ABCA3
ABCA4,ABCA5
ABCA4,ABCA6
ABCA4,ABCA7
ABCA4,ABCA8
ABCA5,ABCA1
ABCA5,ABCA12
ABCA5,ABCA2
ABCA5,ABCA3
ABCA5,ABCA4
ABCA5,ABCA6
ABCA5,ABCA7
ABCA5,ABCA8
ABCA6,ABCA1
ABCA6,ABCA12
ABCA6,ABCA2
ABCA6,ABCA3
ABCA6,ABCA4
ABCA6,ABCA5
ABCA6,ABCA7
ABCA6,ABCA8
ABCA7,ABCA1
ABCA7,ABCA12
ABCA7,ABCA2
ABCA7,ABCA3
ABCA7,ABCA4
ABCA7,ABCA5
ABCA7,ABCA6
ABCA7,ABCA8
ABCA8,ABCA1
ABCA8,ABCA12
ABCA8,ABCA2
ABCA8,ABCA3
ABCA8,ABCA4
ABCA8,ABCA5
ABCA8,ABCA6
ABCA8,ABCA7
ABCB1,ABCB11
ABCB1,ABCB4
ABCB1,ABCB5
ABCB11,ABCB1
ABCB11,ABCB4
ABCB11,ABCB5
ABCB4,ABCB1
ABCB4,ABCB11
ABCB4,ABCB5
ABCB5,ABCB1
ABCB5,ABCB11
ABCB5,ABCB4
ABCB6,ABCB7
ABCB7,ABCB6
ABCB8,ABCB9
ABCB8,TAP1
ABCB8,TAP2
ABCB9,ABCB8
ABCB9,TAP1
ABCB9,TAP2
ABCC1,ABCC2
ABCC1,ABCC3
ABCC1,ABCC4
ABCC1,ABCC5
ABCC1,ABCC6
ABCC1,ABCC8
ABCC1,ABCC9
ABCC2,ABCC1
ABCC2,ABCC3
ABCC2,ABCC4
ABCC2,ABCC5
ABCC2,ABCC6
ABCC2,ABCC8
ABCC2,ABCC9
ABCC3,ABCC1
ABCC3,ABCC2
ABCC3,ABCC4
ABCC3,ABCC5
ABCC3,ABCC6
ABCC3,ABCC8
ABCC3,ABCC9
ABCC4,ABCC1
ABCC4,ABCC2
ABCC4,ABCC3
ABCC4,ABCC5
ABCC4,ABCC6
ABCC4,ABCC8
ABCC4,ABCC9
ABCC5,ABCC1
ABCC5,ABCC2
ABCC5,ABCC3
ABCC5,ABCC4
ABCC5,ABCC6
ABCC5,ABCC8
ABCC5,ABCC9
ABCC6,ABCC1
ABCC6,ABCC2
ABCC6,ABCC3
ABCC6,ABCC4
ABCC6,ABCC5
ABCC6,ABCC8
ABCC6,ABCC9
ABCC8,ABCC1
ABCC8,ABCC2
ABCC8,ABCC3
ABCC8,ABCC4
ABCC8,ABCC5
ABCC8,ABCC6
ABCC8,ABCC9
ABCC9,ABCC1
ABCC9,ABCC2
ABCC9,ABCC3
ABCC9,ABCC4
ABCC9,ABCC5
ABCC9,ABCC6
ABCC9,ABCC8
ABCD1,ABCD2
ABCD1,ABCD3
ABCD1,ABCD4
ABCD2,ABCD1
ABCD2,ABCD3
ABCD2,ABCD4
ABCD3,ABCD1
ABCD3,ABCD2
ABCD3,ABCD4
ABCD4,ABCD1
ABCD4,ABCD2
ABCD4,ABCD3
ABCF1,ABCF3
ABCF3,ABCF1
ABCG1,ABCG2
ABCG1,ABCG4
ABCG2,ABCG1
ABCG2,ABCG4
ABCG4,ABCG1
ABCG4,ABCG2
ABCG5,ABCG8
ABCG8,ABCG5
ABHD17A,ABHD17B
ABHD17B,ABHD17A
ABHD2,ABHD3
ABHD3,ABHD2
ABHD4,ABHD5
ABHD5,ABHD4
ABI1,ABI2
ABI2,ABI1
ABL1,ABL2
ABL1,BMX
ABL1,BTK
